name,Rank,State,Growth From 2000 to 2013,Population,latitude,longitude
Santa Clarita,133,California,15.3,179590,34.3916641,-118.542586
Providence,134,Rhode Island,2.3,177994,41.8239891,-71.4128343
Garden Grove,135,California,5.8,175140,33.7739053,-117.9414477
Chattanooga,136,Tennessee,10.5,173366,35.0456297,-85.3096801
Oceanside,137,California,6.6,172794,33.1958696,-117.3794834
Jackson,138,Mississippi,-6.8,172638,32.2987573,-90.1848103
Fort Lauderdale,139,Florida,0.7,172389,26.1224386,-80.1373174
Santa Rosa,140,California,15.2,171990,38.440429,-122.7140548
Rancho Cucamonga,141,California,32.7,171386,34.1063989,-117.5931084
Port St. Lucie,142,Florida,91.7,171016,27.2730492,-80.3582261
Tempe,143,Arizona,5.8,168228,33.4255104,-111.9400054
Ontario,144,California,5.5,167500,34.0633443,-117.6508876
Vancouver,145,Washington,14.2,167405,45.6387281,-122.6614861
Cape Coral,146,Florida,60.4,165831,26.5628537,-81.9495331
Sioux Falls,147,South Dakota,31.1,164676,43.5445959,-96.7311034
Springfield,148,Missouri,7.8,164122,37.2089572,-93.2922989
Peoria,149,Arizona,46.5,162592,33.5805955,-112.2373779
Pembroke Pines,150,Florida,17.4,162329,26.007765,-80.2962555
Elk Grove,151,California,97.1,161007,38.4087993,-121.3716178
Salem,152,Oregon,16.4,160614,44.9428975,-123.0350963
Lancaster,153,California,33.8,159523,34.6867846,-118.1541632
Corona,154,California,23.6,159503,33.8752935,-117.5664384
Eugene,155,Oregon,14.4,159190,44.0520691,-123.0867536
Palmdale,156,California,33.7,157161,34.5794343,-118.1164613
Salinas,157,California,8.4,155662,36.6777372,-121.6555013
Springfield,158,Massachusetts,1.1,153703,42.1014831,-72.589811
Pasadena,159,Texas,7.5,152735,29.6910625,-95.2091006
Fort Collins,160,Colorado,26.6,152061,40.5852602,-105.084423
Hayward,161,California,7.5,151574,37.6688205,-122.0807964
Pomona,162,California,2.1,151348,34.055103,-117.7499909
Cary,163,North Carolina,55.1,151088,35.79154,-78.7811169
Rockford,164,Illinois,-1,150251,42.2711311,-89.0939952
Alexandria,165,Virginia,15,148892,38.8048355,-77.0469214
Escondido,166,California,10.7,148738,33.1192068,-117.086421
McKinney,167,Texas,165.3,148559,33.1972465,-96.6397822
Kansas City,168,Kansas,1.1,148483,39.114053,-94.6274636
Joliet,169,Illinois,36.5,147806,41.525031,-88.0817251
Sunnyvale,170,California,11.9,147559,37.36883,-122.0363496
Torrance,171,California,6.6,147478,33.8358492,-118.3406288
Bridgeport,172,Connecticut,5.4,147216,41.1865478,-73.1951767
Lakewood,173,Colorado,1.9,147214,39.7047095,-105.0813734
Hollywood,174,Florida,4.8,146526,26.0112014,-80.1494901
Paterson,175,New Jersey,-2.2,145948,40.9167654,-74.171811
Naperville,176,Illinois,12,144864,41.7508391,-88.1535352
Syracuse,177,New York,-0.9,144669,43.0481221,-76.1474244
Mesquite,178,Texas,14.7,143484,32.7667955,-96.5991593
Dayton,179,Ohio,-13.5,143355,39.7589478,-84.1916069
Savannah,180,Georgia,7.5,142772,32.0835407,-81.0998342
Clarksville,181,Tennessee,36.9,142357,36.5297706,-87.3594528
Orange,182,California,7.7,139969,33.7877944,-117.8531119
Pasadena,183,California,3.8,139731,34.1477849,-118.1445155
Fullerton,184,California,9.8,138981,33.8703596,-117.9242966
Killeen,185,Texas,52.1,137147,31.1171194,-97.7277959
Frisco,186,Texas,287.7,136791,33.1506744,-96.8236116
Hampton,187,Virginia,-6.6,136699,37.0298687,-76.3452218
McAllen,188,Texas,27.6,136639,26.2034071,-98.2300124
Warren,189,Michigan,-2.3,134873,42.5144566,-83.0146526
Bellevue,190,Washington,19.1,133992,47.610377,-122.2006786
West Valley City,191,Utah,22.2,133579,40.6916132,-112.0010501
Columbia,192,South Carolina,11.7,133358,34.0007104,-81.0348144
Olathe,193,Kansas,40.4,131885,38.8813958,-94.8191285
Sterling Heights,194,Michigan,5.2,131224,42.5803122,-83.0302033
New Haven,195,Connecticut,5.5,130660,41.308274,-72.9278835
Miramar,196,Florida,74.7,130288,25.9860762,-80.3035602
Waco,197,Texas,12.5,129030,31.549333,-97.1466695
Thousand Oaks,198,California,9.5,128731,34.1705609,-118.8375937
Cedar Rapids,199,Iowa,5.4,128429,41.9778795,-91.6656232
Charleston,200,South Carolina,29.2,127999,32.7764749,-79.9310512
Visalia,201,California,33.6,127763,36.3302284,-119.2920585
Topeka,202,Kansas,3.4,127679,39.0558235,-95.6890185
Elizabeth,203,New Jersey,5.5,127558,40.6639916,-74.2107006
Gainesville,204,Florida,12.8,127488,29.6516344,-82.3248262
Thornton,205,Colorado,52.9,127359,39.8680412,-104.9719243
Roseville,206,California,56.2,127035,38.7521235,-121.2880059
Carrollton,207,Texas,14.9,126700,32.9756415,-96.8899636
Coral Springs,208,Florida,5.7,126604,26.271192,-80.2706044
Stamford,209,Connecticut,7.6,126456,41.0534302,-73.5387341
Simi Valley,210,California,12.6,126181,34.2694474,-118.781482
Concord,211,California,2.9,125880,37.9779776,-122.0310733
Hartford,212,Connecticut,0.6,125017,41.7637111,-72.6850932
Kent,213,Washington,54.3,124435,47.3809335,-122.2348431
Lafayette,214,Louisiana,11,124276,30.2240897,-92.0198427
Midland,215,Texas,30.4,123933,31.9973456,-102.0779146
Surprise,216,Arizona,281.9,123546,33.6292337,-112.3679279
Denton,217,Texas,47.1,123099,33.2148412,-97.1330683
Victorville,218,California,87.6,121096,34.5362184,-117.2927641
Evansville,219,Indiana,-0.8,120310,37.9715592,-87.5710898
Santa Clara,220,California,17.4,120245,37.3541079,-121.9552356
Abilene,221,Texas,3.6,120099,32.4487364,-99.7331439
Athens-Clarke County,222,Georgia,19,119980,33.9519347,-83.357567
Vallejo,223,California,1.2,118837,38.1040864,-122.2566367
Allentown,224,Pennsylvania,11.2,118577,40.6084305,-75.4901833
Norman,225,Oklahoma,22,118197,35.2225668,-97.4394777
Beaumont,226,Texas,3.7,117796,30.080174,-94.1265562
Independence,227,Missouri,3.2,117240,39.0911161,-94.4155068
Murfreesboro,228,Tennessee,65.1,117044,35.8456213,-86.39027
Ann Arbor,229,Michigan,2,117025,42.2808256,-83.7430378
Springfield,230,Illinois,4.2,117006,39.7817213,-89.6501481
Berkeley,231,California,13.3,116768,37.8715926,-122.272747
Peoria,232,Illinois,3,116513,40.6936488,-89.5889864
Provo,233,Utah,10,116288,40.2338438,-111.6585337
El Monte,234,California,-0.4,115708,34.0686206,-118.0275667
Columbia,235,Missouri,34,115276,38.9517053,-92.3340724
Lansing,236,Michigan,-4.4,113972,42.732535,-84.5555347
Fargo,237,North Dakota,24.9,113658,46.8771863,-96.7898034
Downey,238,California,5.3,113242,33.9401088,-118.1331593
Costa Mesa,239,California,2.4,112174,33.6411316,-117.9186689
Wilmington,240,North Carolina,24.8,112067,34.2257255,-77.9447102
Arvada,241,Colorado,9.2,111707,39.8027644,-105.0874842
Inglewood,242,California,-1,111542,33.9616801,-118.3531311
Miami Gardens,243,Florida,10.5,111378,25.9420377,-80.2456045
Carlsbad,244,California,39.7,110972,33.1580933,-117.3505939
Westminster,245,Colorado,9.4,110945,39.8366528,-105.0372046
Rochester,246,Minnesota,23.9,110742,44.0121221,-92.4801989
Odessa,247,Texas,22.3,110720,31.8456816,-102.3676431
Manchester,248,New Hampshire,2.9,110378,42.9956397,-71.4547891
Elgin,249,Illinois,16,110145,42.0354084,-88.2825668
West Jordan,250,Utah,38.4,110077,40.6096698,-111.9391031
Round Rock,251,Texas,81,109821,30.5082551,-97.678896
Clearwater,252,Florida,0.1,109703,27.9658533,-82.8001026
Waterbury,253,Connecticut,2.2,109676,41.5581525,-73.0514965
Gresham,254,Oregon,20.7,109397,45.5001357,-122.4302013
Fairfield,255,California,12.8,109320,38.2493581,-122.0399663
Billings,256,Montana,18.6,109059,45.7832856,-108.5006904
Lowell,257,Massachusetts,3.4,108861,42.6334247,-71.3161718
San Buenaventura (Ventura),258,California,7.4,108817,34.274646,-119.2290316
Pueblo,259,Colorado,5.9,108249,38.2544472,-104.6091409
High Point,260,North Carolina,24.3,107741,35.9556923,-80.0053176
West Covina,261,California,2.3,107740,34.0686208,-117.9389526
Richmond,262,California,7.9,107571,37.9357576,-122.3477486
Murrieta,263,California,107.4,107479,33.5539143,-117.2139232
Cambridge,264,Massachusetts,5.5,107289,42.3736158,-71.1097335
Antioch,265,California,16.9,107100,38.0049214,-121.805789
Temecula,266,California,55.4,106780,33.4936391,-117.1483648
Norwalk,267,California,1.9,106589,33.9022367,-118.081733
Centennial,268,Colorado,3.5,106114,39.5807452,-104.8771726
Everett,269,Washington,9.4,105370,47.9789848,-122.2020794
Wichita Falls,271,Texas,0.7,104898,33.9137085,-98.4933873
Palm Bay,270,Florida,31.7,104898,28.0344621,-80.5886646
Green Bay,272,Wisconsin,1.9,104779,44.519159,-88.019826
Daly City,273,California,1,104739,37.6879241,-122.4702079
Burbank,274,California,4.2,104709,34.1808392,-118.3089661
Richardson,275,Texas,13.2,104475,32.9483335,-96.7298519
Pompano Beach,276,Florida,4,104410,26.2378597,-80.1247667
North Charleston,277,South Carolina,27.4,104054,32.8546197,-79.9748103
Broken Arrow,278,Oklahoma,28.2,103500,36.060949,-95.7974526
Boulder,279,Colorado,9,103166,40.0149856,-105.2705456
West Palm Beach,280,Florida,23.5,102436,26.7153424,-80.0533746
Santa Maria,281,California,30.9,102216,34.9530337,-120.4357191
El Cajon,282,California,7.4,102211,32.7947731,-116.9625269
Davenport,283,Iowa,3.9,102157,41.5236437,-90.5776367
Rialto,284,California,9.8,101910,34.1064001,-117.3703235
Las Cruces,285,New Mexico,37.6,101324,32.3199396,-106.7636538
San Mateo,286,California,9,101128,37.5629917,-122.3255254
Lewisville,287,Texas,28.9,101074,33.046233,-96.994174
South Bend,288,Indiana,-6.8,100886,41.6763545,-86.2519898
Lakeland,289,Florida,18.3,100710,28.0394654,-81.9498042
Erie,290,Pennsylvania,-2.8,100671,42.1292241,-80.085059
Tyler,291,Texas,18.6,100223,32.3512601,-95.3010624
Pearland,292,Texas,117.2,100065,29.5635666,-95.2860474
College Station,293,Texas,45.2,100050,30.627977,-96.3344068
Kenosha,294,Wisconsin,9.5,99889,42.5847425,-87.8211854
Sandy Springs,295,Georgia,17.4,99770,33.9304352,-84.3733147
Clovis,296,California,42.6,99769,36.8252277,-119.7029194
Flint,297,Michigan,-20,99763,43.0125274,-83.6874562
Roanoke,298,Virginia,3.8,98465,37.2709704,-79.9414266
Albany,299,New York,4.1,98424,42.6525793,-73.7562317
Jurupa Valley,300,California,,98030,33.9971974,-117.4854802
Compton,301,California,4.5,97877,33.8958492,-118.2200712
San Angelo,302,Texas,10.2,97492,31.4637723,-100.4370375
Hillsboro,303,Oregon,36.4,97368,45.5228939,-122.989827
Lawton,304,Oklahoma,4.9,97151,34.6035669,-98.3959291
Renton,305,Washington,88.4,97003,47.4828776,-122.2170661
Vista,306,California,7.7,96929,33.2000368,-117.2425355
Davie,307,Florida,17.7,96830,26.0764783,-80.2521157
Greeley,308,Colorado,23.1,96539,40.4233142,-104.7091322
Mission Viejo,309,California,2.9,96346,33.6000232,-117.6719953
Portsmouth,310,Virginia,-4.2,96205,36.8354258,-76.2982742
Dearborn,311,Michigan,-2,95884,42.3222599,-83.1763145
South Gate,312,California,-0.8,95677,33.954737,-118.2120161
Tuscaloosa,313,Alabama,21.1,95334,33.2098407,-87.5691735
Livonia,314,Michigan,-5.4,95208,42.36837,-83.3527097
New Bedford,315,Massachusetts,1.2,95078,41.6362152,-70.934205
Vacaville,316,California,5.4,94275,38.3565773,-121.9877444
Brockton,317,Massachusetts,-0.3,94089,42.0834335,-71.0183787
Roswell,318,Georgia,15.2,94034,34.0232431,-84.3615555
Beaverton,319,Oregon,17,93542,45.487062,-122.8037102
Quincy,320,Massachusetts,5.8,93494,42.2528772,-71.0022705
Sparks,321,Nevada,39.4,93282,39.5349112,-119.7526886
Yakima,322,Washington,11.7,93257,46.6020711,-120.5058987
Lee's Summit,323,Missouri,31.2,93184,38.9108408,-94.3821724
Federal Way,324,Washington,8.8,92734,47.3223221,-122.3126222
Carson,325,California,2.9,92599,33.8316745,-118.281693
Santa Monica,326,California,9.6,92472,34.0194543,-118.4911912
Hesperia,327,California,46.1,92147,34.4263886,-117.3008784
Allen,328,Texas,104,92020,33.1031744,-96.6705503
Rio Rancho,329,New Mexico,74.4,91956,35.2327544,-106.6630437
Yuma,330,Arizona,16.2,91923,32.6926512,-114.6276916
Westminster,331,California,3.9,91739,33.7513419,-117.9939921
Orem,332,Utah,8.5,91648,40.2968979,-111.6946475
Lynn,333,Massachusetts,2.6,91589,42.466763,-70.9494938
Redding,334,California,11.9,91119,40.5865396,-122.3916754
Spokane Valley,335,Washington,12.6,91113,47.6732281,-117.2393748
Miami Beach,336,Florida,3.3,91026,25.790654,-80.1300455
League City,337,Texas,98.3,90983,29.5074538,-95.0949303
Lawrence,338,Kansas,12.7,90811,38.9716689,-95.2352501
Santa Barbara,339,California,0.9,90412,34.4208305,-119.6981901
Plantation,340,Florida,8.6,90268,26.1275862,-80.2331036
Sandy,341,Utah,1.3,90231,40.5649781,-111.8389726
Sunrise,342,Florida,4.6,90116,26.1669711,-80.256595
Macon,343,Georgia,-7.3,89981,32.8406946,-83.6324022
Longmont,344,Colorado,24.4,89919,40.1672068,-105.1019275
Boca Raton,345,Florida,7.5,89407,26.3683064,-80.1289321
San Marcos,346,California,60,89387,33.1433723,-117.1661449
Greenville,347,North Carolina,41.9,89130,35.612661,-77.3663538
Waukegan,348,Illinois,0.5,88826,42.3636331,-87.8447938
Fall River,349,Massachusetts,-3.7,88697,41.7014912,-71.1550451
Chico,350,California,14.2,88077,39.7284944,-121.8374777
Newton,351,Massachusetts,4.9,87971,42.3370413,-71.2092214
San Leandro,352,California,10.3,87965,37.7249296,-122.1560768
Reading,353,Pennsylvania,8,87893,40.3356483,-75.9268747
Norwalk,354,Connecticut,5.6,87776,41.117744,-73.4081575
Fort Smith,355,Arkansas,8.6,87650,35.3859242,-94.3985475
Newport Beach,356,California,10.4,87273,33.6189101,-117.9289469
Asheville,357,North Carolina,19.6,87236,35.5950581,-82.5514869
Nashua,358,New Hampshire,0.4,87137,42.7653662,-71.467566
Edmond,359,Oklahoma,26.9,87004,35.6528323,-97.4780954
Whittier,360,California,3.3,86635,33.9791793,-118.032844
Nampa,361,Idaho,57.9,86518,43.5407172,-116.5634624
Bloomington,362,Minnesota,1.3,86319,44.840798,-93.2982799
Deltona,363,Florida,23.1,86290,28.9005446,-81.2636738
Hawthorne,364,California,2.3,86199,33.9164032,-118.3525748
Duluth,365,Minnesota,-0.1,86128,46.7866719,-92.1004852
Carmel,366,Indiana,60.4,85927,39.978371,-86.1180435
Suffolk,367,Virginia,33.5,85728,36.7282054,-76.5835621
Clifton,368,New Jersey,7.9,85390,40.8584328,-74.1637553
Citrus Heights,369,California,-0.1,85285,38.7071247,-121.2810611
Livermore,370,California,15.1,85156,37.6818745,-121.7680088
Tracy,371,California,45.9,84691,37.7396513,-121.4252227
Alhambra,372,California,-0.7,84577,34.095287,-118.1270146
Kirkland,373,Washington,87.5,84430,47.6814875,-122.2087353
Trenton,374,New Jersey,-1.2,84349,40.2170534,-74.7429384
Ogden,375,Utah,8.6,84249,41.223,-111.9738304
Hoover,376,Alabama,32.7,84126,33.4053867,-86.8113781
Cicero,377,Illinois,-1.6,84103,41.8455877,-87.7539448
Fishers,378,Indiana,114.8,83891,39.9567548,-86.01335
Sugar Land,379,Texas,29.1,83860,29.6196787,-95.6349463
Danbury,380,Connecticut,11.4,83684,41.394817,-73.4540111
Meridian,381,Idaho,127.6,83596,43.6121087,-116.3915131
Indio,382,California,66,83539,33.7205771,-116.2155619
Concord,383,North Carolina,47.4,83506,35.4087517,-80.579511
Menifee,384,California,95,83447,33.6971468,-117.185294
Champaign,385,Illinois,18.3,83424,40.1164204,-88.2433829
Buena Park,386,California,6.1,82882,33.8675143,-117.9981181
Troy,387,Michigan,2.2,82821,42.6064095,-83.1497751
O'Fallon,388,Missouri,62.6,82809,38.8106075,-90.6998477
Johns Creek,389,Georgia,36.5,82788,34.0289259,-84.198579
Bellingham,390,Washington,21.8,82631,48.74908,-122.4781473
Westland,391,Michigan,-4.7,82578,42.324204,-83.400211
Bloomington,392,Indiana,16.1,82575,39.165325,-86.5263857
Sioux City,393,Iowa,-2.9,82459,42.4999942,-96.4003069
Warwick,394,Rhode Island,-4.6,81971,41.7001009,-71.4161671
Hemet,395,California,37.6,81750,33.7475203,-116.9719684
Longview,396,Texas,11.6,81443,32.5007037,-94.7404891
Farmington Hills,397,Michigan,-0.9,81295,42.4989936,-83.3677168
Bend,398,Oregon,54.3,81236,44.0581728,-121.3153096
Lakewood,399,California,2.1,81121,33.8536269,-118.1339563
Merced,400,California,25.4,81102,37.3021632,-120.4829677
Mission,401,Texas,74.5,81050,26.2159066,-98.3252932
Chino,402,California,15.6,80988,34.0122346,-117.688944
Redwood City,403,California,7.1,80872,37.4852152,-122.2363548
Edinburg,404,Texas,65.1,80836,26.3017374,-98.1633432
Cranston,405,Rhode Island,1.4,80566,41.7798226,-71.4372796
Parma,406,Ohio,-5.9,80429,41.4047742,-81.7229086
New Rochelle,407,New York,9.9,79446,40.9114882,-73.7823549
Lake Forest,408,California,4.2,79312,33.6469661,-117.689218
Napa,409,California,8.4,79068,38.2975381,-122.286865
Hammond,410,Indiana,-4.6,78967,41.5833688,-87.5000412
Fayetteville,411,Arkansas,32.9,78960,36.0625795,-94.1574263
Bloomington,412,Illinois,20.1,78902,40.4842027,-88.9936873
Avondale,413,Arizona,111.5,78822,33.4355977,-112.3496021
Somerville,414,Massachusetts,1.6,78804,42.3875968,-71.0994968
Palm Coast,415,Florida,137.2,78740,29.5844524,-81.2078699
Bryan,416,Texas,19.3,78709,30.6743643,-96.3699632
Gary,417,Indiana,-23.4,78450,41.5933696,-87.3464271
Largo,418,Florida,5.1,78409,27.9094665,-82.7873244
Brooklyn Park,419,Minnesota,16,78373,45.0941315,-93.3563405
Tustin,420,California,15.6,78327,33.7458511,-117.826166
Racine,421,Wisconsin,-4.4,78199,42.7261309,-87.7828523
Deerfield Beach,422,Florida,4.8,78041,26.3184123,-80.0997657
Lynchburg,423,Virginia,19.5,78014,37.4137536,-79.1422464
Mountain View,424,California,10.1,77846,37.3860517,-122.0838511
Medford,425,Oregon,17.1,77677,42.3265152,-122.8755949
Lawrence,426,Massachusetts,7.5,77657,42.7070354,-71.1631137
Bellflower,427,California,6.3,77593,33.8816818,-118.1170117
Melbourne,428,Florida,5.9,77508,28.0836269,-80.6081089
St. Joseph,429,Missouri,4.1,77147,39.7674578,-94.846681
Camden,430,New Jersey,-3.6,76903,39.9259463,-75.1196199
St. George,431,Utah,53.1,76817,37.0965278,-113.5684164
Kennewick,432,Washington,29.1,76762,46.2112458,-119.1372338
Baldwin Park,433,California,0.8,76635,34.0852868,-117.9608978
Chino Hills,434,California,13.6,76572,33.9898188,-117.7325848
Alameda,435,California,5.4,76419,37.7652065,-122.2416355
Albany,436,Georgia,-0.6,76185,31.5785074,-84.155741
Arlington Heights,437,Illinois,-0.6,75994,42.0883603,-87.9806265
Scranton,438,Pennsylvania,0,75806,41.408969,-75.6624122
