latitude,longitude,name,desc,color
43.034993,-87.922497,Milwaukee,"Milwaukee, Milwaukee County, WI, US",
36.72953,-119.708861,Fresno,"Fresno, Fresno County, CA, US",
41.258732,-95.937873,Omaha,"Omaha, Douglas County, NE, US",
35.084103,-106.650985,Albuquerque,"Albuquerque, Bernalillo County, NM, US",
35.472989,-97.517054,Oklahoma City,"Oklahoma City, Oklahoma County, OK, US",
35.780398,-78.639099,Raleigh,"Raleigh, Wake County, NC, US",
33.415314,-111.831264,Mesa,"Mesa, Maricopa County, AZ, US",
25.774266,-80.193659,Miami,"Miami, Miami-Dade County, FL, US",
33.749099,-84.390185,Atlanta,"Atlanta, Fulton County, GA, US",
39.100105,-94.578142,Kansas City,"Kansas City, Jackson County, MO, US",
38.833958,-104.825348,Colorado Springs,"Colorado Springs, El Paso County, CO, US",
33.785389,-118.158049,Long Beach,"Long Beach, Los Angeles County, CA, US",
36.795303,-76.050925,Virginia Beach,"Virginia Beach, Virginia Beach, VA, US",
37.804456,-122.271356,Oakland,"Oakland, Alameda County, CA, US",
36.155681,-95.992911,Tulsa,"Tulsa, Tulsa County, OK, US",
44.9773,-93.265469,Minneapolis,"Minneapolis, Hennepin County, MN, US",
21.304547,-157.855676,Honolulu,"Honolulu, Honolulu County, HI, US",
41.505161,-81.693445,Cleveland,"Cleveland, Cuyahoga County, OH, US",
29.949932,-90.070116,New Orleans,"New Orleans, Orleans Parish, LA, US",
32.701939,-97.105715,Arlington,"Arlington, Tarrant County, TX, US",
35.960395,-83.921026,Knoxville,"Knoxville, Knox County, TN, US",
30.44596,-91.18738,Baton Rouge,"Baton Rouge, East Baton Rouge Parish, LA, US",
37.692236,-97.337545,Wichita,"Wichita, Sedgwick County, KS, US",
27.94776,-82.458444,Tampa,"Tampa, Hillsborough County, FL, US",
41.75717,-88.314754,Aurora,"Aurora, Kane County, IL, US",
33.953355,-117.396162,Riverside,"Riverside, Riverside County, CA, US",
35.373871,-119.019464,Bakersfield,"Bakersfield, Kern County, CA, US",
39.101454,-84.51246,Cincinnati,"Cincinnati, Hamilton County, OH, US",
40.441694,-79.990086,Pittsburgh,"Pittsburgh, Allegheny County, PA, US",
33.834752,-117.911732,Anaheim,"Anaheim, Orange County, CA, US",
33.749495,-117.873221,Santa Ana,"Santa Ana, Orange County, CA, US",
34.000749,-81.034331,Columbia,"Columbia, Richland County, SC, US",
33.952847,-84.549615,Marietta,"Marietta, Cobb County, GA, US",
27.800254,-97.395574,Corpus Christi,"Corpus Christi, Nueces County, TX, US",
36.072636,-79.791975,Greensboro,"Greensboro, Guilford County, NC, US",
38.046407,-84.497039,Lexington,"Lexington, Fayette County, KY, US",
41.07999,-85.138601,Fort Wayne,"Fort Wayne, Allen County, IN, US",
38.995908,-77.028892,Silver Spring,"Silver Spring, Montgomery County, MD, US",
41.678675,-83.512728,Toledo,"Toledo, Lucas County, OH, US",
61.216313,-149.894852,Anchorage,"Anchorage, Anchorage, AK, US",
44.950404,-93.101503,Saint Paul,"Saint Paul, Ramsey County, MN, US",
30.438083,-84.280933,Tallahassee,"Tallahassee, Leon County, FL, US",
37.957702,-121.29078,Stockton,"Stockton, San Joaquin County, CA, US",
33.013676,-96.69251,Plano,"Plano, Collin County, TX, US",
40.735657,-74.172367,Newark,"Newark, Essex County, NJ, US",
40.815612,-90.910455,Henderson,"Henderson County, IL, US",
40.8,-96.667821,Lincoln,"Lincoln, Lancaster County, NE, US",
37.639097,-120.996878,Modesto,"Modesto, Stanislaus County, CA, US",
39.52927,-119.813674,Reno,"Reno, Washoe County, NV, US",
47.657943,-117.421226,Spokane,"Spokane, Spokane County, WA, US",
33.306713,-111.840849,Chandler,"Chandler, Maricopa County, AZ, US",
33.577863,-101.855166,Lubbock,"Lubbock, Lubbock County, TX, US",
40.728158,-74.077642,Jersey City,"Jersey City, Hudson County, NJ, US",
42.886717,-78.878392,Buffalo,"Buffalo, Erie County, NY, US",
30.694357,-88.043054,Mobile,"Mobile, Mobile County, AL, US",
25.857596,-80.278106,Hialeah,"Hialeah, Miami-Dade County, FL, US",
34.108345,-117.289765,San Bernardino,"San Bernardino, San Bernardino County, CA, US",
32.640054,-117.084195,Chula Vista,"Chula Vista, San Diego County, CA, US",
30.421309,-87.216915,Pensacola,"Pensacola, Escambia County, FL, US",
33.956215,-83.987962,Lawrenceville,"Lawrenceville, Gwinnett County, GA, US",
43.074761,-89.383761,Madison,"Madison, Dane County, WI, US",
36.099813,-80.244052,Winston-Salem,"Winston-Salem, Forsyth County, NC, US",
