latitude,longitude,name,desc,color
40.730646,-73.986614,New York,"New York City, NY, US",
34.054935,-118.244476,Los Angeles,"Los Angeles, Los Angeles County, CA, US",
29.758938,-95.367697,Houston,"Houston, Harris County, TX, US",
41.875555,-87.624421,Chicago,"Chicago, Cook County, IL, US",
29.4246,-98.49514,San Antonio,"San Antonio, Bexar County, TX, US",
39.952399,-75.16359,Philadelphia,"Philadelphia, Philadelphia County, PA, US",
33.448587,-112.077346,Phoenix,"Phoenix, Maricopa County, AZ, US",
36.166286,-115.149225,Las Vegas,"Las Vegas, Clark County, NV, US",
32.717421,-117.162771,San Diego,"San Diego, San Diego County, CA, US",
32.776272,-96.796856,Dallas,"Dallas, Dallas County, TX, US",
30.271129,-97.743699,Austin,"Austin, Travis County, TX, US",
30.332184,-81.655651,Jacksonville,"Jacksonville, Duval County, FL, US",
39.768333,-86.15835,Indianapolis,"Indianapolis, Marion County, IN, US",
37.779281,-122.419236,San Francisco,"San Francisco, San Francisco City and County, CA, US",
35.227087,-80.843127,Charlotte,"Charlotte, Mecklenburg County, NC, US",
32.753177,-97.332746,Fort Worth,"Fort Worth, Tarrant County, TX, US",
32.221892,-110.926235,Tucson,"Tucson, Pima County, AZ, US",
39.96226,-83.000706,Columbus,"Columbus, Franklin County, OH, US",
38.254238,-85.759407,Louisville,"Louisville, Jefferson County, KY, US",
28.54211,-81.379039,Orlando,"Orlando, Orange County, FL, US",
31.811131,-106.501349,El Paso,"El Paso City, El Paso County, TX, US",
39.739154,-104.984703,Denver,"Denver, Denver County, CO, US",
47.603832,-122.330062,Seattle,"Seattle, King County, WA, US",
35.149022,-90.051628,Memphis,"Memphis, Shelby County, TN, US",
42.360253,-71.058291,Boston,"Boston, Suffolk County, MA, US",
38.894955,-77.036646,Washington,"Washington, District of Columbia, US",
45.520247,-122.674195,Portland,"Portland, Multnomah County, OR, US",
36.16223,-86.774353,Nashville,"Nashville, Davidson County, TN, US",
38.581572,-121.4944,Sacramento,"Sacramento, Sacramento County, CA, US",
39.290882,-76.610759,Baltimore,"Baltimore, MD, US",
